source_dir_name,sample_id,error,traceback,timestamp,failure_kind,source_prefix,source_timestamp,object,sample_type,n_objects_parsed,is_empty,is_offgrid,is_rotated,is_multi_object,speakers_parsed,x_position_parsed,y_position_parsed,experiment_id,new_object,new_n_objects,new_speakers,new_x_position,new_y_position,mask_file_name,segmented_overhead_file_name,speckle_vibrations_file_name,audio_file_name,speckle_shifts_ifft_audio_file_name,old_sample_idx,old_object,old_n_objects,old_speakers,old_x_position,old_y_position,raw_image,cropped_image,overlay_image,already_in_new_dataset,old_row_found,old_image_found,has_new_mask,has_new_segmented_overhead,has_new_preview_video,has_new_ifft_audio,old_npz_found,old_raw_found,old_preview_video_found,can_recover_without_raw,can_recover_full,needs_manual_review
cube-01x04y_0001--31-03-18-40-02,57,/net/mraid20/ifs/wisdom/groups/mark_sheinin_lab/DATA/experiment-15/cube-01x04y_0001--31-03-18-40-02/experiment_config.json not found,"NoneType: None
",2026-04-23T05:08:46.981300,missing_experiment_config,cube-01x04y,31-03-18-40-02,cube,grid_single,1,False,False,False,False,0001,1.0,4.0,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False
cube-01x04y_0010--31-03-18-40-00,58,/net/mraid20/ifs/wisdom/groups/mark_sheinin_lab/DATA/experiment-15/cube-01x04y_0010--31-03-18-40-00/experiment_config.json not found,"NoneType: None
",2026-04-23T05:08:46.981347,missing_experiment_config,cube-01x04y,31-03-18-40-00,cube,grid_single,1,False,False,False,False,0010,1.0,4.0,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False
cube-01x04y_0100--31-03-18-39-58,59,/net/mraid20/ifs/wisdom/groups/mark_sheinin_lab/DATA/experiment-15/cube-01x04y_0100--31-03-18-39-58/experiment_config.json not found,"NoneType: None
",2026-04-23T05:08:46.981426,missing_experiment_config,cube-01x04y,31-03-18-39-58,cube,grid_single,1,False,False,False,False,0100,1.0,4.0,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False
cube-01x04y_1000--31-03-18-39-56,60,/net/mraid20/ifs/wisdom/groups/mark_sheinin_lab/DATA/experiment-15/cube-01x04y_1000--31-03-18-39-56/experiment_config.json not found,"NoneType: None
",2026-04-23T05:08:46.981481,missing_experiment_config,cube-01x04y,31-03-18-39-56,cube,grid_single,1,False,False,False,False,1000,1.0,4.0,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False
cube-01x05y_0001--31-03-18-52-00,61,/net/mraid20/ifs/wisdom/groups/mark_sheinin_lab/DATA/experiment-15/cube-01x05y_0001--31-03-18-52-00/experiment_config.json not found,"NoneType: None
",2026-04-23T05:08:46.981532,missing_experiment_config,cube-01x05y,31-03-18-52-00,cube,grid_single,1,False,False,False,False,0001,1.0,5.0,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False
cube-01x05y_0010--31-03-18-51-57,62,/net/mraid20/ifs/wisdom/groups/mark_sheinin_lab/DATA/experiment-15/cube-01x05y_0010--31-03-18-51-57/experiment_config.json not found,"NoneType: None
",2026-04-23T05:08:46.981584,missing_experiment_config,cube-01x05y,31-03-18-51-57,cube,grid_single,1,False,False,False,False,0010,1.0,5.0,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False
cube-01x05y_0100--31-03-18-51-55,63,/net/mraid20/ifs/wisdom/groups/mark_sheinin_lab/DATA/experiment-15/cube-01x05y_0100--31-03-18-51-55/experiment_config.json not found,"NoneType: None
",2026-04-23T05:08:46.981636,missing_experiment_config,cube-01x05y,31-03-18-51-55,cube,grid_single,1,False,False,False,False,0100,1.0,5.0,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False
cube-01x05y_1000--31-03-18-51-52,64,/net/mraid20/ifs/wisdom/groups/mark_sheinin_lab/DATA/experiment-15/cube-01x05y_1000--31-03-18-51-52/experiment_config.json not found,"NoneType: None
",2026-04-23T05:08:46.981689,missing_experiment_config,cube-01x05y,31-03-18-51-52,cube,grid_single,1,False,False,False,False,1000,1.0,5.0,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False
cube-01x06y_0001--31-03-18-58-11,65,/net/mraid20/ifs/wisdom/groups/mark_sheinin_lab/DATA/experiment-15/cube-01x06y_0001--31-03-18-58-11/experiment_config.json not found,"NoneType: None
",2026-04-23T05:08:46.981741,missing_experiment_config,cube-01x06y,31-03-18-58-11,cube,grid_single,1,False,False,False,False,0001,1.0,6.0,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False
cube-01x06y_0010--31-03-18-58-09,66,/net/mraid20/ifs/wisdom/groups/mark_sheinin_lab/DATA/experiment-15/cube-01x06y_0010--31-03-18-58-09/experiment_config.json not found,"NoneType: None
",2026-04-23T05:08:46.981793,missing_experiment_config,cube-01x06y,31-03-18-58-09,cube,grid_single,1,False,False,False,False,0010,1.0,6.0,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False
